Country_code_A3,b_t,b_post_paris,b_post_trend,se_t,se_post_paris,se_post_trend
CAN,.011802674,.3924005,-.016904816,.0012256901,.10043191,.0033432804
CHN,.066857249,.93077236,-.041500386,.0019715389,.052073468,.0023890962
DEU,-.0091109257,.81287062,-.0299061,.00069761142,.068737172,.0025003657
GBR,-.010131147,.52117807,-.026185455,.0015594651,.046008814,.0021382566
IDN,.045007404,-.42281321,.010703642,.0021113744,.09820351,.0037581816
IND,.053032674,.45385152,-.018369539,.00092810916,.12598923,.0043514851
IRN,.046373576,.15279883,-.011624019,.001605439,.061812554,.0025316698
JPN,.0029170609,.79277039,-.032105073,.00080619019,.0316111,.0012892446
KOR,.031466603,1.1723797,-.047871105,.0026473729,.11639949,.004325998
RUS,-.0067747026,-.55245274,.023416972,.0031809635,.066550113,.0034208992
SAU,.051160101,.99748075,-.041479863,.00091019069,.1446608,.0047993837
USA,.0012281754,.24201383,-.013034807,.0017707372,.062869914,.002532305
